맥체인 성경읽기표,,,,,
월,일,내용,,,
1,1,창세기1,마태복음1,에스라1,사도행전1
,2,창세기2,마태복음2,에스라2,사도행전2
,3,창세기3,마태복음3,에스라3,사도행전3
,4,창세기4,마태복음4,에스라4,사도행전4
,5,창세기5,마태복음5,에스라5,사도행전5
,6,창세기6,마태복음6,에스라6,사도행전6
,7,창세기7,마태복음7,에스라7,사도행전7
,8,창세기8,마태복음8,에스라8,사도행전8
,9,"창세기9,10",마태복음9,에스라9,사도행전9
,10,창세기11,마태복음10,에스라10,사도행전10
,11,창세기12,마태복음11,느헤미야1,사도행전11
,12,창세기13,마태복음12,느헤미야2,사도행전12
,13,창세기14,마태복음13,느헤미야3,사도행전13
,14,창세기15,마태복음14,느헤미야4,사도행전14
,15,창세기16,마태복음15,느헤미야5,사도행전15
,16,창세기17,마태복음16,느헤미야6,사도행전16
,17,창세기18,마태복음17,느헤미야7,사도행전17
,18,창세기19,마태복음18,느헤미야8,사도행전18
,19,창세기20,마태복음19,느헤미야9,사도행전19
,20,창세기21,마태복음20,느헤미야10,사도행전20
,21,창세기22,마태복음21,느헤미야11,사도행전21
,22,창세기23,마태복음22,느헤미야12,사도행전22
,23,창세기24,마태복음23,느헤미야13,사도행전23
,24,창세기25,마태복음24,에스더1,사도행전24
,25,창세기26,마태복음25,에스더2,사도행전25
,26,창세기27,마태복음26,에스더3,사도행전26
,27,창세기28,마태복음27,에스더4,사도행전27
,28,창세기29,마태복음28,에스더5,사도행전28
,29,창세기30,마가복음1,에스더6,로마서1
,30,창세기31,마가복음2,에스더7,로마서2
,31,창세기32,마가복음3,에스더8,로마서3
2,1,창세기33,마가복음4,"에스라9,10",로마서4
,2,창세기34,마가복음5,욥기1,로마서5
,3,"창세기35,36",마가복음6,욥기2,로마서6
,4,창세기37,마가복음7,욥기3,로마서7
,5,창세기38,마가복음8,욥기4,로마서8
,6,창세기39,마가복음9,욥기5,로마서9
,7,창세기40,마가복음10,욥기6,로마서10
,8,창세기41,마가복음11,욥기7,로마서11
,9,창세기42,마가복음12,욥기8,로마서12
,10,창세기43,마가복음13,욥기9,로마서13
,11,창세기44,마가복음14,욥기10,로마서14
,12,창세기45,마가복음15,욥기11,로마서15
,13,창세기46,마가복음16,욥기12,로마서16
,14,창세기47,누가복음1,욥기13,고린도전서1
,15,창세기48,,욥기14,고린도전서2
,16,창세기49,누가복음2,욥기15,고린도전서3
,17,창세기50,누가복음3,"욥기16,17",고린도전서4
,18,출애굽기1,누가복음4,욥기18,고린도전서5
,19,출애굽기2,누가복음5,욥기19,고린도전서6
,20,출애굽기3,누가복음6,욥기20,고린도전서7
,21,출애굽기4,누가복음7,욥기21,고린도전서8
,22,출애굽기5,누가복음8,욥기22,고린도전서9
,23,출애굽기6,누가복음9,욥기23,고린도전서10
,24,출애굽기7,누가복음10,욥기24,고린도전서11
,25,출애굽기8,누가복음11,"욥기25,26",고린도전서12
,26,출애굽기9,누가복음12,욥기27,고린도전서13
,27,출애굽기10,누가복음13,욥기28,고린도전서14
,28,출애굽기11,누가복음14,욥기29,고린도전서15
3월,1,출애굽기12,누가복음15,욥기30,고린도전서16
,2,출애굽기13,누가복음16,욥기31,고린도후서1
,3,출애굽기14,누가복음17,욥기32,고린도후서2
,4,출애굽기15,누가복음18,욥기33,고린도후서3
,5,출애굽기16,누가복음19,욥기34,고린도후서4
,6,출애굽기17,누가복음20,욥기35,고린도후서5
,7,출애굽기18,누가복음21,욥기36,고린도후서6
,8,출애굽기19,누가복음22,욥기37,고린도후서7
,9,출애굽기20,누가복음23,욥기38,고린도후서8
,10,출애굽기21,누가복음24,욥기39,고린도후서9
,11,출애굽기22,요한복음1,욥기40,고린도후서10
,12,출애굽기23,요한복음2,욥기41,고린도후서11
,13,출애굽기24,요한복음3,욥기42,고린도후서12
,14,출애굽기25,요한복음4,잠언1,고린도후서13
,15,출애굽기26,요한복음5,잠언2,갈라디아서1
,16,출애굽기27,요한복음6,잠언3,갈라디아서2
,17,출애굽기28,요한복음7,잠언4,갈라디아서3
,18,출애굽기29,요한복음8,잠언5,갈라디아서4
,19,출애굽기30,요한복음9,잠언6,갈라디아서5
,20,출애굽기31,요한복음10,잠언7,갈라디아서6
,21,출애굽기32,요한복음11,잠언8,에배소서1
,22,출애굽기33,요한복음12,잠언9,에배소서2
,23,출애굽기34,요한복음13,잠언10,에배소서3
,24,출애굽기35,요한복음14,잠언11,에배소서4
,25,출애굽기36,요한복음15,잠언12,에배소서5
,26,출애굽기37,요한복음16,잠언13,에배소서6
,27,출애굽기38,요한복음17,잠언14,빌립보서1
,28,출애굽기39,요한복음18,잠언15,빌립보서2
,29,출애굽기40,요한복음19,잠언16,빌립보서3
,30,레위기1,요한복음20,잠언17,빌립보서4
,31,"레위기2,3",요한복음21,잠언18,골로세서1
4월,1,레위기4,"시편1,2",잠언19,골로새서2
,2,레위기5,"시편3,4",잠언20,골로새서3
,3,레위기6,"시편5,6",잠언21,골로새서4
,4,레위기7,"시편7,8",잠언22,데살로니가전서1
,5,레위기8,시편9,잠언23,데살로니가전서2
,6,레위기9,시편10,잠언24,데살로니가전서3
